
		Exclude		State Code	State	Location ID	Material	ONGC Material	Total, MBG	Total, Sm3	Total Sales, MBG	Alloc. - Sales, MBG	Wt. Avg. GCV	Wt. Avg. NCV	16.08.2026	17.08.2026	18.08.2026	19.08.2026	20.08.2026	21.08.2026	22.08.2026	23.08.2026	24.08.2026	25.08.2026	26.08.2026	27.08.2026	28.08.2026	29.08.2026	30.08.2026	31.08.2026
				HR	Haryana	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				HP	Himachal Pradesh	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				HP	Himachal Pradesh	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				HP	Himachal Pradesh	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				JH	Jharkhand	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				JH	Jharkhand	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				JH	Jharkhand	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				KAR	Karnataka	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				KAR	Karnataka	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
			X	KER	Kerala	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
			X	KER	Kerala	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
			X	KER	Kerala	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				MP	Madhya Pradesh	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				MP	Madhya Pradesh	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				MP	Madhya Pradesh	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				MAH	Maharashtra	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				MAH	Maharashtra	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				OR	Odisha	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				OR	Odisha	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				OR	Odisha	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				PB	Punjab	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				PB	Punjab	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				PB	Punjab	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				RJ	Rajasthan	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				RJ	Rajasthan	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				RJ	Rajasthan	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				UP	Uttar Pradesh	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				UP	Uttar Pradesh	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				UP	Uttar Pradesh	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				UCH	Uttarakhand	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				UCH	Uttarakhand	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				WB	West Bengal	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				WB	West Bengal	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				WB	West Bengal	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000

	*								    0.000	    0.000	          0.000	             0.000			    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
