DDL_NAME|ENTITY_NAME|ELEMENT_NAME|BASE_OBJECT|BASE_FIELD|IS_CALCULATED
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BALANCETRANSACTIONCURRENCY|ACDOCA|RTCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BASEUNIT|ACDOCA|RUNIT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BILLABLECONTROL|ACDOCA|BEMOT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BILLINGDOCUMENTTYPE|ACDOCA|FKART|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BILLTOPARTY|ACDOCA|KUNRE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BUDGETPERIOD|ACDOCA|RBUDGET_PD|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BUSINESSAREA|ACDOCA|RBUSA|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BUSINESSPROCESS|ACDOCA|PRZNR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BUSINESSSOLUTIONORDER|ACDOCA|SOLUTION_ORDER_ID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BUSINESSSOLUTIONORDERITEM|ACDOCA|SOLUTION_ORDER_ITEM_ID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BUSINESSTRANSACTIONCATEGORY|ACDOCA|BTTYPE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|BUSINESSTRANSACTIONTYPE|ACDOCA|CBTTYPE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CALENDARMONTH|SCAL_TT_DATE|CALENDARMONTH|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CALENDARQUARTER|SCAL_TT_DATE|CALENDARQUARTER|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CALENDARWEEK|SCAL_TT_DATE|CALENDARWEEK|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CALENDARYEAR|SCAL_TT_DATE|CALENDARYEAR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CALENDARYEARMONTH|SCAL_TT_DATE|YEARMONTH|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CALENDARYEARQUARTER|SCAL_TT_DATE|YEARQUARTER|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CALENDARYEARWEEK|SCAL_TT_DATE|YEARWEEK|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CASHLEDGERACCOUNT|ACDOCA|RE_ACCOUNT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CASHLEDGERCOMPANYCODE|ACDOCA|RE_BUKRS|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CHARTOFACCOUNTS|ACDOCA|KTOPL|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CLEARINGACCOUNTINGDOCUMENT|ACDOCA|AUGBL|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CLEARINGDATE|ACDOCA|AUGDT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CLEARINGDOCFISCALYEAR|ACDOCA|AUGGJ|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CLEARINGJOURNALENTRY|ACDOCA|AUGBL|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CLEARINGJOURNALENTRYFISCALYEAR|ACDOCA|AUGGJ|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CNSLDTNFINANCIALSTATEMENTITEM|ACDOCA|RITEM|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CNSLDTNSUBITEM|ACDOCA|SUBIT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CNSLDTNSUBITEMCATEGORY|ACDOCA|SITYP|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COMMITMENTITEM|ACDOCA|FIPEX|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COMPANY|ACDOCA|RCOMP|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COMPANYCODE|ACDOCA|RBUKRS|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COMPANYCODECURRENCY|ACDOCA|RHCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONDITIONCONTRACT|ACDOCA|COCO_NUM|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONSOLIDATIONCHARTOFACCOUNTS|ACDOCA|RITCLG|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONSOLIDATIONUNIT|ACDOCA|RBUNIT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONTROLLINGAREA|ACDOCA|KOKRS|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONTROLLINGBUSTRANSACTYPE|ACDOCA|VRGNG|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONTROLLINGDEBITCREDITCODE|ACDOCA|CO_BELKZ|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONTROLLINGDOCUMENTITEM|ACDOCA|CO_BUZEI|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONTROLLINGOBJECT|ACDOCA|OBJNR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONTROLLINGOBJECTCLASS|ACDOCA|SCOPE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONTROLLINGOBJECTCURRENCY|ACDOCA|RCO_OCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CONTROLLINGOBJECTDEBITTYPE|ACDOCA|BELTP|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COSTANALYSISRESOURCE|ACDOCA|RSRCE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COSTCENTER|ACDOCA|RCNTR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COSTCTRACTIVITYTYPE|ACDOCA|LSTAR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COSTESTIMATE|ACDOCA|KALNR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COSTOBJECT|ACDOCA|KSTRG|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COSTORIGINGROUP|ACDOCA|HKGRP|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COSTSOURCEUNIT|ACDOCA|RVUNIT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|COUNTRYCHARTOFACCOUNTS|ACDOCA|KTOP2|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREATIONDATE|I_GLACCOUNTLINEITEMRAWDATA|CREATIONDATE|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREATIONDATETIME|ACDOCA|TIMESTAMP|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINBALANCETRANSCRCY|I_GLACCOUNTLINEITEM|CREDITAMOUNTINBALANCETRANSCRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINCOCODECRCY|I_GLACCOUNTLINEITEM|CREDITAMOUNTINCOCODECRCY|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY1|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY1|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY2|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY2|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY3|I_GLACCOUNTLINEITEM|CREDITAMOUNTINFREEDEFINEDCRCY3|X
