02.09.2026                                                                                                                                                                Dynamic List Display                                                                                                                                                                                                                         1

Table: T059P

	MANDT	LAND1	WITHT	WT_TPNR	WT_ACCPT	WT_ACCALL	WT_ACCTMAX	WT_WTRD	WT_CEINV	WT_BASE	WT_DOPOST	WT_POSTM	WT_ALWT	WT_WTDSC	WT_SLFWT	WT_WTDP	WT_MANUAL	WT_MAINTB	WT_MAINTA	WT_REDBAS	WT_WTINV	REGIO	TDFORM	WT_BCPLVL	WT_CTNBRL	WT_MANBAS	KSCHL	J_1BSUMVAL	J_1BTEXKEY	WT_KURST	WT_INHERITBASE	WT_NOREDUCTION	J_1AFORMAT	KSCHL_TX	J_1BWHTBASE_NF	ALL_TAX_CODES	J_DAILY_ACC	TEXT40
	500	IN	25	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194C-Adv-Contractors(Non-Corp)
	500	IN	26	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194C-Adv-Advtg Contract(Non-Corp)
	500	IN	27	    000	0			00		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Corp)-Sec 44D
	500	IN	28	    000	0			00		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Non-Corp)-Sec 44D
	500	IN	29	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								195-Adv-Non Residents(Corp)-Sec 44D
	500	IN	2A	    055	0			00		2	X	1				    010		2	2						X	X					X							194A-Inv-Other Int(Non-Corp)-EDU CESS
	500	IN	2B	    057	0			00		2	X	1				    013		2	2						X	X				TTB	X							195-Inv-Non Res(Non-Corp)-Sec44BB-E CESS
	500	IN	2C	    059	0			00		2	X	1				    014		2	2						X	X					X							194C-Inv-Sub Contractors(Corp)-EDU CESS
	500	IN	2D	    065	0			00		2	X	1				    020		2	2						X	X					X							195-Inv-Non Res(Non-Corp)-Sec 44D-E CESS
	500	IN	2H	    067	0			00		2	X	1				    022		2	2						X	X					X							194H-Inv-Comn / Broker(Non-Corp)EDU CESS
	500	IN	2I	    069	0			00		2	X	1				    024		2	2						X	X					X							194I-Inv-Rent(Non-Corp) -  EDU CESS
	500	IN	2J	    071	0			00		2	X	1				    026		2	2						X	X					X							194J-Inv-Professionals(Non-Corp)- EDU CE
	500	IN	30	    000	0			00		2	X	1				    000		2	2						X	X												194C-Inv-Contractors(Corp)
	500	IN	31	    000	0			00		2	X	1				    000		2	2						X	X												194H-Inv-Commn / Brokerage (Corp)
	500	IN	32	    000	0			00		2	X	1				    000		2	2						X	X												194H-Inv-Commn / Brokerage (Non-Corp)
	500	IN	33	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194H-Adv-Commn / Brokerage (Corp)
	500	IN	34	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194H-Adv-Commn / Brokerage (Non-Corp)
	500	IN	35	    000	0			00		2	X	1				    000		2	2						X	X												194I-Inv-Rent(Corp)
	500	IN	36	    000	0			00		2	X	1				    000		2	2						X	X												194I-Inv-Rent(Non-Corp)
	500	IN	37	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194I-Adv-Rent(Corp)
	500	IN	38	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194I-Adv-Rent(Non-Corp)
	500	IN	39	    000	0			00		2	X	1				    000		2	2						X	X												194J-Inv-Professionals(Corp)
	500	IN	3C	    060	0			00		2	X	1				    015		2	2						X	X					X							194C-Inv-Advtg Contractors(Corp)-EDU CES
	500	IN	40	    000	0			00		2	X	1				    000		2	2						X	X												194J-Inv-Professionals(Non-Corp)
	500	IN	41	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194J-Adv-Professionals(Corp)
	500	IN	42	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194J-Adv-Professionals(Non-Corp)
	500	IN	43	    000	0			00		2	X	1				    000		2	2						X	X												Service Tax
	500	IN	44	    000	0			00		2	X	1				    000		2	2						X	X												194E-Inv-Non Residents(Non-Corp)sports
	500	IN	45	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194E-Adv-Non Resident(Non-Corp)-sports
	500	IN	46	    090	0			00		1	X	1				    000		2	2						X	X												Buiding Workers Cess
	500	IN	47	    091	0			00		1	X	1				    000	X	2	2						X	X												Compensation on acquisition
