02.09.26 Dynamic List Display                                                  1

Table: T059U

	MANDT	SPRAS	LAND1	WITHT	TEXT40
	500	EN	IN	77	194IA Immovble Prpt.excl Agri Land Corp
	500	EN	IN	78	194-I(INV)RENT OTHER THAN P&M AND EQPT
	500	EN	IN	79	194-I(INV)RENT OTHER THAN P&M AND EQPT
	500	EN	IN	7C	194C-Inv-Sub Contractor(Non-Corp)-E CESS
	500	EN	IN	80	194J-(INV) PROFESIONAL CHARGES
	500	EN	IN	81	194J-(ADV) PROFESIONAL CHARGES
	500	EN	IN	82	194E- Non Residents(Non-Corp)sports
	500	EN	IN	83	194E- Non Residents(Corp)sports
	500	EN	IN	84	194J-(INV) PROFESIONAL CHARGES
	500	EN	IN	85	194LC Intt.on Exter.Comm.Borrowing NCorp
	500	EN	IN	86	194LC Intt. on Exter.Comm.Borrowing Corp
	500	EN	IN	87	194LD Intt. on dominated bond Non-corp.
	500	EN	IN	88	194LD Intt. on dominated bond Corp.
	500	EN	IN	89	194J-(ADV) PROFESIONAL CHARGES
	500	EN	IN	8C	194C-Inv-Advtg Contract(Non-Corp)-EDU CE
	500	EN	IN	90	Buiding Workers Cess
	500	EN	IN	91	195-Inv-Non Residents(Corp)-Sec 44
	500	EN	IN	92	195-Inv-Non Residents(Non-Corp)-Sec 44
	500	EN	IN	93	194I -(INV) RENT OF P&M AND EQPT
	500	EN	IN	94	EQUALIZATION LEVY
	500	EN	IN	95	Service Tax (New)
	500	EN	IN	96	Service Tax (Swatch Bharat Cess)
	500	EN	IN	97	Service Tax (w.e.f.15.11.15)
	500	EN	IN	98	Service Tax (Krishi Kalyan Cess)
	500	EN	IN	99	exemption under section 197
	500	EN	IN	9A	194E- Non Residents(Non-Corp)sports
	500	EN	IN	9B	194E- Non Residents(Corp)sports
	500	EN	IN	9C	194LC Intt.on Exter.Comm.Borrowing NCorp
	500	EN	IN	9D	194LC Intt. on Exter.Comm.Borrowing Corp
	500	EN	IN	9E	194LD Intt. on dominated bond Non-corp.
	500	EN	IN	9F	194LD Intt. on dominated bond Corp.
	500	EN	IN	9G	195-Inv-Non Residents(Corp)
	500	EN	IN	9H	195-Inv-Non Residents(Non-Corp)
	500	EN	IN	9I	195-Non Residents(Corp) Sec 44BB,44D,DTA
	500	EN	IN	9J	195-NonResidts(Non-Cor) Sec 44BB,44D,DTA
	500	EN	IN	9K	195(2)& 195(3) -Inv-Non Residents(Corp)
	500	EN	IN	9L	195-Adv-Non Residents(Corp)
	500	EN	IN	9M	197(1) &195 -Corporate Residents
	500	EN	IN	9N	195-Adv-Non Residents(Non Corp)
	500	EN	IN	9O	IT TDS NOT APPLICABLE (INV)
	500	EN	IN	9P	IT TDS NOT APPLICABLE (ADV)
	500	EN	IN	9Q	GST TDS NOT APPLICABLE (INV)
	500	EN	IN	9R	GST TDS NOT APPLICABLE (ADV)
